timestamp,strategy_name,dte_bucket,state_at_entry,trigger_type,entry_price,exit_price,pnl,adx_at_entry,vr_ratio
2026-09-17T06:33:22.688701+00:00,NiftyOptions,,RE_CENTER,RE_CENTER,4.1,,0.0,,
2026-09-17T06:33:22.688759+00:00,NiftyOptions,,RE_CENTER,RE_CENTER,3.26,,0.0,,
2026-09-17T06:33:22.688812+00:00,NiftyOptions,,RE_CENTER,RE_CENTER,58.8,,0.0,,
2026-09-17T06:33:22.688861+00:00,NiftyOptions,,RE_CENTER,RE_CENTER,50.8,,0.0,,
2026-09-17T06:33:22.689159+00:00,NiftyOptions,,PROACTIVE_CUT,PROACTIVE_CUT,59.2,,0.0,,
2026-09-17T06:49:50.846545+00:00,NiftyOptions,,RE_CENTER,RE_CENTER,0.7,,0.0,,
2026-09-17T06:49:50.846671+00:00,NiftyOptions,,RE_CENTER,RE_CENTER,0.7,,0.0,,
2026-09-17T06:49:50.846738+00:00,NiftyOptions,,RE_CENTER,RE_CENTER,61.05,,0.0,,
2026-09-17T06:49:50.846824+00:00,NiftyOptions,,RE_CENTER,RE_CENTER,48.55,,0.0,,
2026-09-17T06:50:48.676063+00:00,NiftyOptions,,RE_CENTER,RE_CENTER,0.7,,0.0,,
2026-09-17T06:50:48.676132+00:00,NiftyOptions,,RE_CENTER,RE_CENTER,0.7,,0.0,,
2026-09-17T06:50:48.676184+00:00,NiftyOptions,,RE_CENTER,RE_CENTER,61.05,,0.0,,
2026-09-17T06:50:48.676229+00:00,NiftyOptions,,RE_CENTER,RE_CENTER,48.55,,0.0,,
2026-09-17T06:51:07.146601+00:00,NiftyOptions,,RE_CENTER,RE_CENTER,0.7,,0.0,,
2026-09-17T06:51:07.146704+00:00,NiftyOptions,,RE_CENTER,RE_CENTER,0.7,,0.0,,
2026-09-17T06:51:07.146773+00:00,NiftyOptions,,RE_CENTER,RE_CENTER,61.05,,0.0,,
2026-09-17T06:51:07.146845+00:00,NiftyOptions,,RE_CENTER,RE_CENTER,48.55,,0.0,,
2026-09-17T06:53:26.680889+00:00,NiftyOptions,,RE_CENTER,RE_CENTER,0.7,,0.0,,
2026-09-17T06:53:26.680978+00:00,NiftyOptions,,RE_CENTER,RE_CENTER,0.7,,0.0,,
2026-09-17T06:53:26.681031+00:00,NiftyOptions,,RE_CENTER,RE_CENTER,61.05,,0.0,,
2026-09-17T06:53:26.681076+00:00,NiftyOptions,,RE_CENTER,RE_CENTER,48.55,,0.0,,
2026-09-17T06:53:33.362769+00:00,NiftyOptions,,RE_CENTER,RE_CENTER,0.7,,0.0,,
2026-09-17T06:53:33.362835+00:00,NiftyOptions,,RE_CENTER,RE_CENTER,0.7,,0.0,,
2026-09-17T06:53:33.362886+00:00,NiftyOptions,,RE_CENTER,RE_CENTER,54.8,,0.0,,
